district_id,district_name,state,population,rural_population,urban_population,rural_fraction,literacy_rate,female_literacy,sc_pct,st_pct,cultivators,agri_laborers,rural_households,poverty_rate_proxy,solid_fuel_pct,bank_account_pct,electricity_pct,mobile_ownership_pct,improved_water_pct,sanitation_pct,women_bank_account_pct,child_stunting_pct,pmuy_eligible,pmuy_connections,pmuy_coverage,pmkisan_eligible,pmkisan_beneficiaries,pmkisan_coverage
1,Andaman Islands,Andaman & Nicobar,462209,252736,209472,0.5468,0.7565,0.6159,0.0134,0.0,29444,13379,54054,0.0993,0.5033,0.6533,0.8623,0.8563,0.6929,0.65,0.5635,0.1819,174425,115971,0.6649,145004,123475,0.8515
2,Nicobar Islands,Andaman & Nicobar,674841,428714,246126,0.6353,0.7829,0.6753,0.0898,0.1243,37198,23947,83454,0.0967,0.2981,0.6044,0.7001,0.6381,0.5659,0.5851,0.503,0.1933,159499,105879,0.6639,207044,196690,0.95
3,Anantapur,Andhra Pradesh,963216,633447,329768,0.6576,0.614,0.5387,0.1873,0.1239,110921,82220,116201,0.2921,0.5472,0.6426,0.6929,0.6419,0.5973,0.5578,0.5078,0.2517,407676,259525,0.6366,654000,519151,0.7938
4,Chittoor,Andhra Pradesh,188901,135872,53028,0.7193,0.723,0.6561,0.0912,0.0,19519,17480,26903,0.29,0.5744,0.5852,0.6021,0.7151,0.5937,0.4188,0.4954,0.2957,99077,71879,0.7255,125283,98390,0.7854
5,Cuddapah,Andhra Pradesh,212690,146452,66237,0.6886,0.6522,0.5647,0.211,0.1068,16268,19261,29306,0.3528,0.5832,0.7105,0.7176,0.7753,0.8174,0.6081,0.612,0.3168,109579,62762,0.5728,120305,85878,0.7138
6,East Godavari,Andhra Pradesh,280481,177367,103113,0.6324,0.5993,0.5311,0.2546,0.0,32548,26034,35816,0.3286,0.5391,0.5169,0.6345,0.697,0.5581,0.5188,0.4601,0.3017,123793,64371,0.52,198366,173701,0.8757
7,Guntur,Andhra Pradesh,639845,469305,170539,0.7335,0.6196,0.5128,0.2101,0.057,43329,25583,106127,0.287,0.4235,0.4248,0.5732,0.6101,0.6131,0.5458,0.4143,0.3473,288159,218043,0.7567,233344,158535,0.6794
8,Krishna,Andhra Pradesh,629315,400130,229184,0.6358,0.6551,0.5187,0.1283,0.1348,40234,28695,78711,0.3139,0.6253,0.5994,0.6872,0.7664,0.6828,0.603,0.5731,0.1607,315555,212054,0.672,233402,187483,0.8033
9,Kurnool,Andhra Pradesh,248818,166956,81861,0.671,0.6777,0.5371,0.1966,0.0682,24709,14707,40410,0.2589,0.5017,0.5546,0.7248,0.7989,0.4827,0.6659,0.4129,0.2164,129980,88985,0.6846,133467,100070,0.7498
10,Nellore,Andhra Pradesh,163113,114502,48610,0.702,0.5806,0.4961,0.2409,0.0372,17173,10597,27626,0.3844,0.587,0.4712,0.5574,0.6889,0.6438,0.6091,0.3789,0.3187,103969,62390,0.6001,94032,69347,0.7375
11,Prakasam,Andhra Pradesh,709450,377295,332154,0.5318,0.6744,0.5491,0.1084,0.0,79452,47422,76360,0.3335,0.5112,0.6914,0.5804,0.6734,0.6409,0.5462,0.5748,0.2548,250273,175316,0.7005,429611,298033,0.6937
12,Srikakulam,Andhra Pradesh,299094,175903,123190,0.5881,0.6565,0.6011,0.2451,0.1802,23661,23056,41331,0.388,0.481,0.5625,0.7275,0.6965,0.5873,0.5845,0.4778,0.1941,127461,70065,0.5497,158189,134188,0.8483
13,Vishakhapatnam,Andhra Pradesh,265176,148462,116713,0.5599,0.6885,0.6355,0.047,0.0,20523,19028,31347,0.3901,0.5421,0.5537,0.7768,0.7677,0.7256,0.543,0.452,0.2071,108950,64801,0.5948,133924,100415,0.7498
