district_id,district_name,state,population,rural_population,urban_population,rural_fraction,literacy_rate,female_literacy,sc_pct,st_pct,cultivators,agri_laborers,rural_households,poverty_rate_proxy
1,Andaman Islands,Andaman & Nicobar,462209,252736,209472,0.5468,0.7565,0.6159,0.0134,0.0,29444,13379,54054,0.0993
2,Nicobar Islands,Andaman & Nicobar,674841,428714,246126,0.6353,0.7829,0.6753,0.0898,0.1243,37198,23947,83454,0.0967
3,Anantapur,Andhra Pradesh,963216,633447,329768,0.6576,0.614,0.5387,0.1873,0.1239,110921,82220,116201,0.2921
4,Chittoor,Andhra Pradesh,188901,135872,53028,0.7193,0.723,0.6561,0.0912,0.0,19519,17480,26903,0.29
5,Cuddapah,Andhra Pradesh,212690,146452,66237,0.6886,0.6522,0.5647,0.211,0.1068,16268,19261,29306,0.3528
6,East Godavari,Andhra Pradesh,280481,177367,103113,0.6324,0.5993,0.5311,0.2546,0.0,32548,26034,35816,0.3286
7,Guntur,Andhra Pradesh,639845,469305,170539,0.7335,0.6196,0.5128,0.2101,0.057,43329,25583,106127,0.287
8,Krishna,Andhra Pradesh,629315,400130,229184,0.6358,0.6551,0.5187,0.1283,0.1348,40234,28695,78711,0.3139
9,Kurnool,Andhra Pradesh,248818,166956,81861,0.671,0.6777,0.5371,0.1966,0.0682,24709,14707,40410,0.2589
10,Nellore,Andhra Pradesh,163113,114502,48610,0.702,0.5806,0.4961,0.2409,0.0372,17173,10597,27626,0.3844
11,Prakasam,Andhra Pradesh,709450,377295,332154,0.5318,0.6744,0.5491,0.1084,0.0,79452,47422,76360,0.3335
12,Srikakulam,Andhra Pradesh,299094,175903,123190,0.5881,0.6565,0.6011,0.2451,0.1802,23661,23056,41331,0.388
13,Vishakhapatnam,Andhra Pradesh,265176,148462,116713,0.5599,0.6885,0.6355,0.047,0.0,20523,19028,31347,0.3901
14,Vizianagaram,Andhra Pradesh,164122,81968,82153,0.4994,0.6627,0.5696,0.1209,0.0065,18819,14088,19468,0.3286
15,West Godavari,Andhra Pradesh,94869,59871,34997,0.6311,0.6402,0.4957,0.1591,0.1979,7276,4222,12389,0.2993
16,Changlang,Arunachal Pradesh,187754,157164,30589,0.8371,0.5718,0.3979,0.1769,0.0612,20095,8765,38640,0.3396
17,East Kameng,Arunachal Pradesh,130307,102135,28171,0.7838,0.7455,0.5797,0.1417,0.1143,15367,10359,22395,0.2851
18,East Siang,Arunachal Pradesh,1237501,971015,266485,0.7847,0.5493,0.468,0.2656,0.2868,83818,77756,182802,0.3014
19,Kurung Kumey,Arunachal Pradesh,177055,145444,31610,0.8215,0.6074,0.4923,0.1386,0.1205,14274,14384,34772,0.351
20,Lohit,Arunachal Pradesh,184502,124076,60425,0.6725,0.5735,0.419,0.2141,0.0,12363,14402,26994,0.3182
21,Lower Dibang Valley,Arunachal Pradesh,807910,656870,151039,0.813,0.7286,0.6414,0.1013,0.0531,77264,37272,156007,0.3371
22,Lower Subansiri,Arunachal Pradesh,2714122,2497392,216729,0.9201,0.5753,0.4207,0.0476,0.0091,187154,209226,480709,0.3072
