district_id,solid_fuel_pct,bank_account_pct,electricity_pct,mobile_ownership_pct,improved_water_pct,sanitation_pct,women_bank_account_pct,child_stunting_pct
1,0.5033,0.6533,0.8623,0.8563,0.6929,0.65,0.5635,0.1819
2,0.2981,0.6044,0.7001,0.6381,0.5659,0.5851,0.503,0.1933
3,0.5472,0.6426,0.6929,0.6419,0.5973,0.5578,0.5078,0.2517
4,0.5744,0.5852,0.6021,0.7151,0.5937,0.4188,0.4954,0.2957
5,0.5832,0.7105,0.7176,0.7753,0.8174,0.6081,0.612,0.3168
6,0.5391,0.5169,0.6345,0.697,0.5581,0.5188,0.4601,0.3017
7,0.4235,0.4248,0.5732,0.6101,0.6131,0.5458,0.4143,0.3473
8,0.6253,0.5994,0.6872,0.7664,0.6828,0.603,0.5731,0.1607
9,0.5017,0.5546,0.7248,0.7989,0.4827,0.6659,0.4129,0.2164
10,0.587,0.4712,0.5574,0.6889,0.6438,0.6091,0.3789,0.3187
11,0.5112,0.6914,0.5804,0.6734,0.6409,0.5462,0.5748,0.2548
12,0.481,0.5625,0.7275,0.6965,0.5873,0.5845,0.4778,0.1941
13,0.5421,0.5537,0.7768,0.7677,0.7256,0.543,0.452,0.2071
14,0.4634,0.6509,0.8072,0.6626,0.6135,0.6274,0.5826,0.1818
15,0.4227,0.5784,0.5781,0.6671,0.6236,0.6047,0.4846,0.2678
16,0.6938,0.506,0.5472,0.6207,0.5795,0.5998,0.4694,0.3814
17,0.4331,0.597,0.6238,0.7074,0.4842,0.6242,0.5516,0.2268
18,0.6904,0.4825,0.632,0.5371,0.5529,0.4919,0.4413,0.3006
19,0.3962,0.4406,0.5898,0.6432,0.6882,0.5337,0.3786,0.3114
20,0.6968,0.4462,0.6387,0.5869,0.7118,0.5732,0.3439,0.3203
21,0.5392,0.6018,0.5938,0.6624,0.5832,0.4955,0.4888,0.1816
22,0.638,0.4763,0.5309,0.6156,0.5838,0.4961,0.4325,0.3102
23,0.5448,0.4351,0.6159,0.6631,0.5316,0.5523,0.3216,0.2343
24,0.7222,0.4368,0.4727,0.5129,0.5368,0.5108,0.3512,0.3243
25,0.6571,0.3988,0.758,0.8238,0.3855,0.5528,0.3031,0.2996
26,0.512,0.6154,0.6409,0.6315,0.5725,0.5826,0.4639,0.1933
27,0.7232,0.5104,0.5777,0.6298,0.5843,0.6087,0.4629,0.2117
28,0.4715,0.4969,0.6054,0.553,0.637,0.4428,0.497,0.3944
29,0.6489,0.4792,0.4806,0.6196,0.4877,0.3661,0.3928,0.3178
30,0.4488,0.71,0.5901,0.8216,0.4525,0.6425,0.5527,0.2261
31,0.5085,0.5578,0.5955,0.7415,0.6091,0.4271,0.4834,0.2313
32,0.4911,0.4589,0.5934,0.6763,0.4134,0.5121,0.4659,0.3565
33,0.662,0.3167,0.5248,0.4069,0.592,0.3868,0.3607,0.2869
34,0.6426,0.5441,0.5617,0.5663,0.5841,0.5256,0.5517,0.3366
35,0.573,0.418,0.5263,0.7155,0.4976,0.5983,0.3815,0.3449
36,0.45,0.6789,0.6682,0.7101,0.6458,0.5589,0.5372,0.2644
37,0.6566,0.4874,0.5311,0.5176,0.6742,0.562,0.4584,0.3186
38,0.5285,0.6655,0.5648,0.6209,0.6863,0.4792,0.6541,0.1959
39,0.6786,0.605,0.6295,0.6146,0.4964,0.6038,0.4757,0.3183
40,0.4873,0.6516,0.5981,0.6236,0.4172,0.5479,0.5356,0.2242
41,0.4046,0.5202,0.5496,0.6399,0.6265,0.496,0.46,0.2457
42,0.568,0.6932,0.5595,0.6745,0.4089,0.5833,0.5653,0.3203
43,0.4672,0.7036,0.593,0.6636,0.5904,0.4064,0.637,0.1992
44,0.6543,0.4384,0.6356,0.5736,0.6115,0.5362,0.3456,0.3319
45,0.615,0.4739,0.5514,0.5619,0.7148,0.532,0.4165,0.3679
46,0.4644,0.3118,0.557,0.5367,0.5272,0.4913,0.311,0.281
47,0.6165,0.5182,0.6537,0.6304,0.6966,0.5291,0.5292,0.2653
48,0.6747,0.4997,0.5443,0.6554,0.5076,0.2743,0.2716,0.3765
49,0.5948,0.7662,0.5756,0.6091,0.4869,0.4773,0.6009,0.3074
50,0.7923,0.5492,0.5267,0.5286,0.6282,0.4326,0.4523,0.3265
51,0.5663,0.4984,0.5527,0.7073,0.5741,0.6059,0.4135,0.3137
52,0.4713,0.608,0.5249,0.6163,0.5287,0.4772,0.4315,0.2666
53,0.6247,0.5306,0.5781,0.6666,0.5336,0.4172,0.4492,0.3345
54,0.5215,0.4857,0.5015,0.6827,0.5302,0.4111,0.4175,0.2503
55,0.5958,0.3304,0.5059,0.6646,0.4844,0.4918,0.2391,0.4013
56,0.5973,0.4229,0.6023,0.7372,0.6261,0.4582,0.3937,0.4669
57,0.455,0.4696,0.5809,0.6201,0.5246,0.4014,0.4694,0.2331
58,0.5545,0.6121,0.6143,0.6028,0.4589,0.4997,0.4824,0.2955
59,0.4291,0.6344,0.6028,0.6817,0.6612,0.4664,0.503,0.2374
60,0.564,0.5245,0.567,0.5327,0.5179,0.5337,0.4527,0.3577
61,0.8004,0.5263,0.6232,0.6457,0.6688,0.5836,0.495,0.36
62,0.6965,0.3929,0.5346,0.5993,0.4861,0.4381,0.2162,0.4606
63,0.5942,0.5445,0.6164,0.631,0.6327,0.3566,0.5827,0.3587
64,0.609,0.6334,0.489,0.6075,0.632,0.3167,0.5664,0.3122
65,0.7231,0.4422,0.6665,0.6197,0.5061,0.4005,0.3215,0.3157
66,0.5268,0.5448,0.5639,0.5577,0.5185,0.5206,0.4492,0.3152
67,0.6882,0.5597,0.5468,0.5462,0.5424,0.4952,0.4027,0.2718
68,0.474,0.5688,0.5767,0.7243,0.4297,0.4042,0.4668,0.2598
69,0.4622,0.5002,0.5506,0.6171,0.5444,0.4243,0.499,0.319
70,0.5384,0.5337,0.5342,0.6849,0.455,0.4817,0.4557,0.3732
71,0.6951,0.5483,0.5333,0.6551,0.501,0.564,0.47,0.2734
72,0.4796,0.5115,0.6571,0.6461,0.6546,0.4388,0.4412,0.3257
73,0.4411,0.6346,0.5845,0.6435,0.613,0.5566,0.5531,0.3542
74,0.7264,0.5453,0.5973,0.7021,0.626,0.3448,0.594,0.3182
75,0.7125,0.5188,0.6574,0.6041,0.6121,0.4866,0.5199,0.3268
76,0.7259,0.3149,0.5454,0.6189,0.5478,0.5169,0.2494,0.3515
77,0.8026,0.2261,0.6359,0.5647,0.5138,0.53,0.2536,0.4479
78,0.6541,0.5045,0.6198,0.5915,0.4986,0.4319,0.4707,0.3389
79,0.362,0.5676,0.6392,0.6886,0.5537,0.5844,0.417,0.2184
80,0.5861,0.5482,0.6219,0.5457,0.5735,0.5322,0.4567,0.2928
81,0.6837,0.4858,0.5988,0.6357,0.4672,0.539,0.4712,0.3435
82,0.502,0.4867,0.5774,0.548,0.5097,0.3691,0.444,0.3268
83,0.5221,0.4714,0.6048,0.6451,0.5456,0.4516,0.3622,0.3157
84,0.6197,0.5129,0.5442,0.588,0.4985,0.6293,0.3974,0.2843
85,0.8564,0.5589,0.4909,0.6797,0.4537,0.5235,0.4645,0.273
86,0.7825,0.502,0.6016,0.6202,0.4976,0.4958,0.4872,0.3389
87,0.7586,0.5744,0.5357,0.6199,0.514,0.3376,0.4837,0.3113
88,0.6097,0.4989,0.5516,0.6454,0.5821,0.4623,0.3557,0.416
89,0.6475,0.4619,0.4971,0.5478,0.6266,0.5112,0.4149,0.3284
90,0.7099,0.4574,0.5531,0.6144,0.5069,0.4803,0.399,0.3716
91,0.4542,0.5791,0.8712,0.773,0.7517,0.7415,0.543,0.2445
92,0.5497,0.5861,0.5904,0.6327,0.4953,0.5772,0.5406,0.3439
93,0.6339,0.5287,0.5626,0.5919,0.6524,0.5424,0.4147,0.3028
94,0.4663,0.5339,0.6846,0.7013,0.5224,0.4722,0.3756,0.2396
95,0.5538,0.4901,0.6442,0.6614,0.6076,0.4988,0.3772,0.2972
96,0.4488,0.5937,0.5919,0.7361,0.5539,0.6132,0.4485,0.2451
97,0.655,0.5635,0.6854,0.6301,0.7136,0.4818,0.534,0.2699
98,0.5212,0.4506,0.6246,0.7575,0.4971,0.6106,0.4284,0.2407
99,0.563,0.4301,0.5546,0.6134,0.5786,0.4815,0.4493,0.303
100,0.5456,0.6212,0.6168,0.8042,0.6279,0.4837,0.5558,0.2323
101,0.4889,0.609,0.7677,0.7319,0.6514,0.6216,0.4446,0.2958
102,0.4491,0.5437,0.7219,0.667,0.4979,0.5945,0.4147,0.248
103,0.6443,0.58,0.508,0.6972,0.506,0.5938,0.4627,0.323
104,0.6899,0.4942,0.6443,0.7109,0.5241,0.5729,0.4088,0.2777
105,0.5925,0.5163,0.6491,0.6252,0.546,0.5326,0.4367,0.2858
106,0.7004,0.2809,0.6257,0.6063,0.5562,0.6763,0.2397,0.3888
107,0.576,0.4925,0.5387,0.6218,0.4875,0.48,0.2906,0.2621
108,0.6543,0.5902,0.8394,0.8204,0.74,0.6417,0.4498,0.3479
109,0.5511,0.6829,0.8041,0.8687,0.7145,0.8158,0.6653,0.2414
110,0.4249,0.5124,0.8201,0.856,0.7423,0.7853,0.4634,0.1807
111,0.5889,0.5239,0.9476,0.8558,0.9037,0.8137,0.3391,0.2924
112,0.3393,0.6796,0.8605,0.8588,0.5997,0.8001,0.5495,0.1578
113,0.3373,0.7815,0.8477,0.8567,0.6794,0.7822,0.7318,0.2272
114,0.6057,0.5852,0.6126,0.6436,0.599,0.5308,0.4442,0.1925
115,0.474,0.4979,0.649,0.6214,0.6047,0.5221,0.4778,0.2994
116,0.6279,0.5422,0.5776,0.6669,0.4938,0.5402,0.4237,0.3164
117,0.4394,0.5499,0.7043,0.7506,0.5488,0.5769,0.4766,0.3641
118,0.4348,0.4745,0.827,0.6803,0.4688,0.546,0.2649,0.3113
119,0.5667,0.5265,0.6854,0.7877,0.4875,0.5165,0.4361,0.2319
120,0.5869,0.3932,0.669,0.6469,0.6527,0.5723,0.3446,0.2617
121,0.5907,0.493,0.7645,0.7922,0.631,0.7674,0.4913,0.3454
122,0.4143,0.4448,0.7731,0.7476,0.5742,0.7013,0.335,0.253
123,0.5516,0.4901,0.751,0.8109,0.684,0.7438,0.4733,0.2841
124,0.3622,0.4853,0.6558,0.5806,0.5378,0.5413,0.486,0.2579
125,0.4772,0.5567,0.7249,0.7081,0.7156,0.5514,0.4792,0.3029
126,0.4291,0.6887,0.7397,0.8099,0.6536,0.6586,0.5538,0.2031
127,0.5973,0.644,0.6354,0.7362,0.4192,0.5464,0.5954,0.2472
128,0.5315,0.3545,0.6956,0.7441,0.6738,0.6826,0.2908,0.2901
