district_id,pmkisan_eligible,pmkisan_beneficiaries,pmkisan_coverage
1,145004,123475,0.8515
2,207044,196690,0.95
3,654000,519151,0.7938
4,125283,98390,0.7854
5,120305,85878,0.7138
6,198366,173701,0.8757
7,233344,158535,0.6794
8,233402,187483,0.8033
9,133467,100070,0.7498
10,94032,69347,0.7375
11,429611,298033,0.6937
12,158189,134188,0.8483
13,133924,100415,0.7498
14,111427,78331,0.703
15,38933,33278,0.8548
16,97723,70739,0.7239
17,87111,70373,0.8079
18,547110,438564,0.8016
19,97039,75710,0.7802
20,90629,54960,0.6065
21,387833,321821,0.8298
22,1342193,1017142,0.7578
23,107794,77735,0.7211
24,664971,483850,0.7276
25,177582,113398,0.6386
26,185928,142637,0.7672
27,97892,63994,0.6537
28,134862,100429,0.7447
29,208646,159039,0.7623
30,460344,398232,0.8651
31,204972,145498,0.7099
32,131364,111004,0.845
33,337925,268794,0.7954
34,446088,329192,0.738
35,906744,596713,0.6581
36,116658,78957,0.6768
37,315384,242853,0.77
38,472178,348452,0.738
39,510404,432266,0.8469
40,157048,114999,0.7323
41,248589,169821,0.6832
42,225648,181594,0.8048
43,242714,178276,0.7345
44,65765,47605,0.7239
45,330350,268181,0.8118
46,168527,124931,0.7413
47,430509,319725,0.7427
48,1025614,800406,0.7804
49,103734,68342,0.6588
50,171564,134703,0.7852
51,82018,63263,0.7714
52,253925,212388,0.8364
53,100608,80583,0.801
54,86197,61800,0.717
55,89427,70604,0.7895
56,1097163,765468,0.6977
57,128991,96277,0.7464
58,88703,64102,0.7227
59,184279,142769,0.7748
60,217633,152592,0.7011
61,34914,28917,0.8283
62,485960,415244,0.8545
63,33563,26286,0.7833
64,160952,136874,0.8504
65,155975,98397,0.6309
66,180812,117888,0.652
67,94523,67488,0.714
68,53659,40941,0.763
69,324397,239511,0.7383
70,442231,276446,0.6251
71,83102,68572,0.8252
72,127968,114566,0.8953
73,282792,233226,0.8247
74,180832,148122,0.8191
75,123702,92935,0.7513
