district_id,pmuy_eligible,pmuy_connections,pmuy_coverage
1,174425,115971,0.6649
2,159499,105879,0.6639
3,407676,259525,0.6366
4,99077,71879,0.7255
5,109579,62762,0.5728
6,123793,64371,0.52
7,288159,218043,0.7567
8,315555,212054,0.672
9,129980,88985,0.6846
10,103969,62390,0.6001
11,250273,175316,0.7005
12,127461,70065,0.5497
13,108950,64801,0.5948
14,57838,39257,0.6788
15,33570,17362,0.5172
16,171880,101372,0.5898
17,62185,38949,0.6264
18,809172,485166,0.5996
19,88325,50413,0.5708
20,120594,68301,0.5664
21,539324,282690,0.5242
22,1966362,1200435,0.6105
23,174720,103648,0.5933
24,1699085,855457,0.5035
25,202123,126069,0.6238
26,185722,115176,0.6202
27,115452,66641,0.5773
28,156832,76681,0.489
29,331052,209464,0.6327
30,500130,282433,0.5647
31,197705,118395,0.5989
32,106155,58832,0.5542
33,410330,217946,0.5312
34,661919,451242,0.6817
35,834106,517448,0.6204
36,133064,96551,0.7256
37,409279,249068,0.6086
38,488448,323480,0.6623
39,424756,216638,0.51
40,189537,110957,0.5854
41,213176,127352,0.5974
42,237963,165789,0.6967
43,307477,182728,0.5943
44,58524,36513,0.624
45,282690,168193,0.595
46,193781,128615,0.6637
47,474818,284979,0.6002
48,2030387,1336898,0.6584
49,180112,94018,0.522
50,456724,226813,0.4966
51,105674,51240,0.4849
52,283716,186863,0.6586
53,130282,85664,0.6576
54,62095,38154,0.6146
55,85792,44021,0.5131
56,858047,469823,0.5476
57,104584,58267,0.5572
58,104680,72886,0.6963
59,119876,84029,0.701
60,211618,133051,0.6287
61,88838,51657,0.5815
62,679473,427539,0.6292
63,37084,20055,0.5409
64,234937,126415,0.5381
65,389063,220710,0.5673
66,200372,107168,0.5349
67,136885,77989,0.5698
68,65827,35250,0.5356
69,226942,146900,0.6473
70,475920,284235,0.5972
71,162147,108393,0.6685
72,110130,55357,0.5027
73,173598,122036,0.703
74,230904,112066,0.4853
75,139912,73456,0.525
76,223960,115503,0.5157
77,107681,68994,0.6407
78,180933,103296,0.5709
79,185921,107258,0.5769
80,282607,150645,0.5331
81,110367,54267,0.4917
82,191082,120927,0.6329
83,24389,15374,0.6304
84,87299,55459,0.6353
85,227551,138110,0.607
86,192877,75213,0.39
87,988425,479344,0.485
88,620827,369521,0.5952
89,169777,91877,0.5412
90,106181,55254,0.5204
91,12566,8905,0.7088
92,244253,164275,0.6726
93,274169,171072,0.624
94,233885,156120,0.6675
95,299591,165436,0.5522
96,199584,126383,0.6332
97,402143,208964,0.5196
98,1081110,653410,0.6044
99,108668,49221,0.453
100,249664,130583,0.5231
101,43617,26896,0.6167
102,576447,428969,0.7442
103,167167,85324,0.5104
104,345023,191595,0.5553
105,37731,23427,0.6209
106,718269,506920,0.7058
107,528232,321069,0.6078
108,99436,75905,0.7634
109,27928,20677,0.7406
110,33468,24357,0.728
111,24806,19151,0.7723
112,33160,24677,0.7444
113,8206,6629,0.8085
114,302155,177426,0.5872
115,558219,398867,0.7145
116,514383,336495,0.6542
117,171373,109925,0.6415
118,85010,48086,0.5657
119,276996,171335,0.6185
120,204739,147131,0.7186
121,94185,64519,0.6851
122,570157,393526,0.6902
123,131307,85080,0.648
124,275900,175675,0.6367
125,240855,143201,0.5946
126,82811,58024,0.7007
127,48137,33602,0.6981
128,17189,11630,0.677
129,115965,70815,0.6107
130,66731,43207,0.6475
131,183882,135507,0.737
132,81554,54651,0.6702
133,79663,53048,0.666
134,419993,328782,0.7828
135,445395,284895,0.6397
136,36840,28223,0.7662
137,266373,163872,0.6152
138,114708,82586,0.72
139,307131,225538,0.7343
140,26832,17747,0.6614
141,117657,73277,0.6228
142,94441,48977,0.5186
143,35173,23690,0.6737
144,292115,208419,0.7135
145,212747,134314,0.6313
146,293288,196609,0.6704
147,47188,28364,0.6012
148,482935,311747,0.6455
149,91344,53843,0.5895
150,346395,244804,0.7067
151,293371,185748,0.6332
152,47567,28710,0.6036
153,49516,30845,0.623
154,205655,128974,0.6272
155,166513,105097,0.6312
156,198244,146124,0.7371
157,40078,26107,0.6515
158,281472,143848,0.5111
159,448633,280119,0.6244
160,283190,204322,0.7215
161,279856,183228,0.6547
162,151183,116010,0.7674
163,101635,61441,0.6046
164,294237,209477,0.7119
165,524456,393500,0.7503
166,172681,120985,0.7006
167,312837,170700,0.5457
168,113355,70174,0.6191
169,528495,383043,0.7248
170,290993,171790,0.5904
171,173957,126909,0.7296
172,485775,301822,0.6213
173,66500,45932,0.6908
174,257480,156165,0.6065
175,51555,32807,0.6364
176,192570,117241,0.6088
177,126153,86254,0.6838
178,310298,212202,0.6839
179,79047,52228,0.6608
180,168078,109970,0.6543
181,186235,112240,0.6027
182,571529,362635,0.6345
183,93992,49740,0.5293
184,303931,194448,0.6398
185,148535,94544,0.6365
186,204456,124088,0.6069
187,28832,18016,0.6249
188,133051,78348,0.5889
189,102045,49131,0.4815
190,96018,52536,0.5472
191,58325,40719,0.6982
192,213471,130102,0.6095
193,351627,172392,0.4903
194,437541,271123,0.6197
195,407618,232449,0.5703
196,341560,185902,0.5443
197,367905,190736,0.5184
198,508600,332520,0.6538
199,330808,159166,0.4812
200,183818,102257,0.5563
201,1489107,876262,0.5884
202,116503,81086,0.696
203,230975,147586,0.639
204,632958,409997,0.6478
205,62672,49259,0.786
206,81650,50029,0.6128
207,47284,32685,0.6913
208,214869,146971,0.684
209,30999,19382,0.6253
210,39975,29069,0.7273
211,270040,177522,0.6574
212,47919,35609,0.7432
213,389070,225185,0.5788
214,99974,73225,0.7324
215,86311,59466,0.689
216,87145,64140,0.7361
217,222024,152087,0.685
218,116599,87850,0.7535
219,158467,111220,0.7019
220,113766,78848,0.6931
221,126890,91043,0.7175
222,449524,322499,0.7174
223,568246,401572,0.7067
224,148106,77701,0.5247
225,88543,53478,0.604
226,103603,78874,0.7613
227,87151,51163,0.5871
228,126518,94396,0.7461
229,171283,125467,0.7325
230,1017694,606882,0.5963
231,281177,170360,0.6059
232,545498,364360,0.6679
233,127249,112393,0.8833
234,158403,109957,0.6942
235,87151,60101,0.6896
236,100359,69000,0.6876
237,240290,182484,0.7594
238,113054,80111,0.7087
239,191076,131974,0.6907
240,306605,250972,0.8186
241,63166,49625,0.7857
242,471246,307041,0.6516
243,291301,186825,0.6414
244,391198,320967,0.8205
245,107251,69244,0.6456
246,170206,99154,0.5826
247,121703,77053,0.6332
248,67583,39039,0.5777
249,84016,47304,0.5631
250,146048,75822,0.5192
251,179535,97942,0.5455
252,228352,126217,0.5528
253,599348,352255,0.5877
254,306727,225371,0.7348
255,1191953,717910,0.6023
256,214670,135199,0.6298
257,201347,127916,0.6353
258,182125,112284,0.6165
259,128877,84741,0.6576
260,403989,244926,0.6063
261,294609,198250,0.6729
262,386005,304489,0.7888
263,123408,80817,0.6549
264,65051,36186,0.5564
265,96089,61640,0.6415
266,232385,133878,0.5761
267,114772,71385,0.622
268,233732,135206,0.5785
269,158152,85927,0.5433
270,478825,314100,0.656
271,194884,132962,0.6823
272,125390,80612,0.6429
273,125114,78438,0.627
274,224384,143117,0.6378
275,137091,89818,0.6552
276,93101,53792,0.5778
277,419307,284254,0.6779
278,236860,165186,0.6974
279,100936,61012,0.6045
280,273739,162140,0.5923
281,488237,347542,0.7118
282,249119,149991,0.6021
283,61710,39745,0.6442
284,145836,98115,0.6728
285,613967,405817,0.661
286,304284,175040,0.5753
287,122389,76341,0.6238
288,298558,184677,0.6186
289,337566,239233,0.7087
290,866305,591488,0.6828
291,143483,88395,0.6161
292,556577,372490,0.6693
293,55472,36622,0.6602
294,173431,125140,0.7216
295,530784,309997,0.584
296,394706,271002,0.6866
297,69956,45579,0.6516
298,95871,66493,0.6936
299,224544,142072,0.6327
300,120568,82945,0.688
301,174681,122261,0.6999
302,58787,45508,0.7742
303,48689,34384,0.7063
304,248581,157127,0.6321
305,248170,177034,0.7134
306,186953,117612,0.6291
307,108688,78643,0.7236
